中原区,锦艺城 西元国际 旁特惠次卧,锦艺国际华都三期,面积：9.00㎡,"['楼层：27/33层', '朝向：南', '户型：4室2厅1厨1卫']",风格：,入住时间：立即入住,,地址：中原区棉纺西路与桐柏路交汇处,860
中原区,西元国际旁！建设路地铁口！朝南带飘窗！可押一付一！随时看房,五建新街坊,面积：16.00㎡,"['楼层：29/33层', '朝向：南', '户型：4室1厅1厨1卫']",风格：柠檬树,入住时间：立即入住,飘窗,地址：郑州市中原区建设西路五建新街坊,830
中原区,西元国际旁！建设路西三环地铁口！朝南主卧带飘窗！可月付！随时看房,五建新街坊,面积：18.00㎡,"['楼层：29/33层', '朝向：南', '户型：4室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,飘窗,地址：郑州市中原区建设西路五建新街坊,900
中原区,西元国际旁！建设西路地铁口！五建新街坊！朝南带飘窗！随时看房,五建新街坊,面积：13.00㎡,"['楼层：12/33层', '朝向：南', '户型：4室1厅1厨1卫']",风格：阳光橙,入住时间：立即入住,飘窗,地址：郑州市中原区建设西路五建新街坊,600
中原区,西元国际旁！建设西路地铁口！五建新街坊！朝南带飘窗！拎包入住,五建新街坊,面积：16.00㎡,"['楼层：12/33层', '朝向：南', '户型：4室1厅1厨1卫']",风格：柠檬树,入住时间：立即入住,,地址：郑州市中原区建设西路五建新街坊,830
中原区,西元国际旁！西三环地铁口！五建新街坊！朝南主卧带飘窗！可月付,五建新街坊,面积：18.00㎡,"['楼层：12/33层', '朝向：南', '户型：4室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,飘窗,地址：郑州市中原区建设西路五建新街坊,900
中原区,五建新街坊 西三环地铁口 朝南带飘窗,五建新街坊,面积：16.00㎡,"['楼层：22/33层', '朝向：南', '户型：4室1厅1厨1卫']",风格：柠檬树,入住时间：立即入住,,地址：郑州市中原区建设西路五建新街坊,800
中原区,大学科技园旁边 精装温馨，拎包入住,正商紫薇里（高层）,面积：18.00㎡,"['楼层：5/6层', '朝向：南', '户型：4室1厅1厨2卫']",风格：柠檬树,入住时间：立即入住,,地址：电厂路五龙口南路向南300米,750
中原区,五龙口大学科技园，西湖新城，朝北大次卧,西湖新城（多层）,面积：18.00㎡,"['楼层：5/6层', '朝向：南', '户型：4室1厅1厨2卫']",风格：青春派,入住时间：立即入住,,地址：电厂路五龙口南路南300米,730
中原区,紧邻农业路高架 天誉龙邸 精装主卧带阳台 拎包入住,天誉龙邸,面积：28.00㎡,"['楼层：25/33层', '朝向：北', '户型：4室1厅1厨1卫']",风格：欢乐颂,入住时间：立即入住,,地址：冉屯路洲海路交叉口东北角,900
中原区,建设路西三环地铁口，五建新街坊，朝南带阳台，可月付，随时看房,五建新街坊,面积：0㎡,"['楼层：16/33层', '朝向：西北', '户型：3室1厅1厨1卫']",风格：,入住时间：立即入住,,地址：郑州市中原区建设西路五建新街坊,2400
中原区,朝南次卧带阳台 超大空间 全新家具家电 可月付,帝湖西王府,面积：20.00㎡,"['楼层：4/34层', '朝向：南', '户型：6室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：桐柏路航海路交叉口向南100米路东,760
